Machine ,"Reason
Remarks",Date Label,"Attended
By","Duration
Log >> Close/Now",Production or Process Defect?
22,0,1,4,30,0
43,1,1,24,7,0
50,1,1,12,4,0
58,4,1,12,1,1
0,0,1,14,4,0
44,3,1,24,7,1
38,1,1,4,13,0
6,1,1,14,8,0
9,3,1,14,36,1
41,3,1,24,5,1
35,0,1,19,28,0
48,3,2,12,1,1
41,0,2,24,8,0
54,3,2,12,2,1
41,0,2,21,13,0
47,0,2,21,5,0
61,3,2,25,11,1
66,1,2,11,18,0
34,0,2,13,17,0
61,3,2,25,15,1
67,1,3,25,18,0
30,1,3,13,17,0
17,0,3,22,42,0
61,3,3,15,17,1
61,3,3,15,17,1
66,4,3,15,14,1
60,0,3,15,12,0
58,0,0,8,14,0
47,1,0,24,7,0
61,0,0,8,29,0
14,0,0,4,8,0
29,0,0,19,12,0
42,1,0,24,15,0
56,1,0,20,13,0
60,0,0,8,6,0
9,0,0,14,23,0
47,0,0,24,17,0
33,0,0,19,16,0
64,4,0,20,18,1
15,1,0,1,10,0
68,1,0,20,14,0
60,4,0,8,8,1
50,4,0,8,27,1
47,0,0,19,15,0
60,0,0,20,55,0
61,3,1,20,33,1
29,1,1,24,16,0
30,1,1,24,12,0
58,4,1,8,24,1
48,3,1,20,15,1
53,4,1,20,20,1
37,1,1,24,12,0
17,4,1,4,11,1
46,3,1,24,13,1
68,3,1,20,6,1
60,0,1,8,10,0
26,0,1,19,22,0
2,1,1,14,39,0
60,0,1,20,10,0
34,0,1,19,16,0
5,4,2,9,2,1
49,1,2,11,11,0
69,4,2,15,15,1
65,1,2,15,35,0
2,1,2,9,5,0
59,0,2,11,7,0
49,3,2,15,30,1
52,0,2,11,16,0
59,3,2,15,8,1
69,0,2,15,12,0
22,1,2,9,4,0
45,0,3,13,10,0
2,0,3,9,5,0
40,1,3,11,7,0
21,4,3,15,18,1
45,0,0,10,7,0
25,4,0,8,16,1
49,3,0,10,10,1
39,3,0,12,7,1
63,0,0,2,11,0
60,3,0,12,20,1
4,3,0,25,17,1
14,1,0,25,13,0
35,1,0,8,36,0
43,1,0,12,52,0
37,1,0,12,14,0
30,0,0,8,9,0
49,3,1,10,4,1
46,1,1,10,12,0
47,1,1,12,18,0
45,3,1,12,5,1
11,1,1,16,28,0
54,0,1,10,9,0
0,0,1,16,5,0
55,0,1,10,6,0
60,1,2,15,28,0
36,0,2,21,31,0
14,4,2,9,12,1
57,4,2,15,6,1
69,4,3,15,32,1
35,4,3,13,39,1
1,1,3,9,5,0
0,0,3,9,29,0
48,0,3,11,8,0
6,1,3,9,7,0
65,4,3,15,27,1
55,0,3,11,8,0
48,1,3,11,4,0
55,0,0,11,18,0
17,0,0,25,24,0
47,1,0,7,32,0
8,1,0,16,19,0
32,3,0,8,14,1
32,3,0,8,22,1
36,3,0,7,10,1
69,4,0,8,12,1
5,1,0,25,12,0
32,1,0,8,6,0
